ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.0052857142857142,0.0021428571428571,799990,-62.28475961278581,-62.19500346930636,342,-70.94630009228064,-70.58012909156844,799648,-62.28105517427786,-62.193911400185115,0,,
0.0052857142857142,0.0107142857142857,799945,-65.86453640595587,-63.763646835076955,239977,-80.08763897759766,-77.4293621116214,534087,-60.45416063117529,-60.43948080381626,25881,-45.63324242930772,-47.79327213149379
0.0118571428571428,0.0107142857142857,793468,-54.28101032389245,-54.05828532890406,39462,-76.41238029524763,-74.5628502183268,537660,-57.03261354110943,-56.14893947208194,216346,-43.405953204377845,-45.82530989309622
0.0217142857142857,0.0064285714285714,707673,-43.93657677907462,-46.44163136606386,0,,,129542,-53.048049106732506,-52.322079365253174,578131,-41.89496623013417,-45.425615918028676
0.0118571428571428,0.0085714285714285,794304,-53.364339939754046,-53.623950758550826,14111,-74.29055863738742,-73.02459328330053,578799,-56.20240874583407,-55.362721024014135,201394,-43.7416041137979,-46.59739839781839
0.0118571428571428,0.0042857142857142,797908,-52.46894820569238,-52.90517188766283,27,-70.9675034551003,-71.05560142376893,677822,-53.77811379623208,-53.444336601080224,120059,-45.07357842997755,-48.39589054774763
0.0217142857142857,0.015,736247,-46.62982432880468,-47.655328847300254,11765,-77.12090149834738,-74.86958880094544,265661,-55.42359271367082,-54.43838662960755,458821,-40.756316303253094,-43.9602639740688
0.0151428571428571,0.0107142857142857,774136,-50.07274282774307,-50.902735411873394,12199,-75.18277472899582,-73.60205471996376,419099,-55.61624716394141,-54.61469359582164,342838,-42.40266423972257,-45.55836123978282
0.0085714285714285,0.015,798292,-62.08022588870604,-59.361712102870925,192274,-83.11650015368546,-79.45299387324025,464990,-58.91471836080851,-58.386705339338675,141028,-43.83704543781968,-45.29108094966983
0.002,0.0,799990,-68.62849496413546,-68.62850608614528,0,,,799990,-68.62849496413546,-68.62850608614528,0,,
0.025,0.0042857142857142,690405,-42.35711968948159,-44.95796216256665,0,,,69280,-53.94858786774347,-54.3341832206103,621125,-41.064212600908476,-44.43582526207498
