ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.032,0.0078947368421052,269186,-40.45196845611191,-42.69981009354386,0,,,27489,-53.350517873396015,-53.5712785888388,241697,-38.98497372745694,-42.07478512007712
0.004,0.015,319982,-71.41031348832331,-67.52474265025347,143048,-87.742094522924,-83.94044590049145,154917,-60.102112616493,-60.015897412033944,22017,-44.867366720997076,-46.29131141822917
0.004,0.0039473684210526,319996,-64.99359020757056,-64.6394931880057,38063,-72.61463950215943,-71.95985569414819,281933,-63.96469327354746,-64.01161844481226,0,,
0.022,0.0023684210526315,280015,-43.307205404557344,-46.06636696692311,0,,,26764,-54.315446437398855,-54.74414309867173,253251,-42.14383561331082,-45.61482228103483
0.036,0.0102631578947368,265329,-39.7640035748376,-41.88468093478493,0,,,31640,-53.48185004451294,-53.41550720033403,233689,-37.906694662990986,-41.00206226772923
0.012,0.0047368421052631,318548,-52.138231801803386,-52.75253624149828,0,,,257161,-53.9230869280147,-53.529818136598806,61387,-44.661158005859136,-48.09749998767205
0.012,0.0063157894736842,317732,-52.38538505591907,-52.993232402798725,342,-72.47120894798779,-71.9483073032662,243116,-54.88976881285427,-54.2536128189914,74274,-44.09547050678821,-47.452487049970586
0.034,0.0023684210526315,266192,-39.66412261131617,-41.90049669735967,0,,,25691,-53.13798230121316,-53.48981653343588,240501,-38.22480664467509,-41.35101154523085
0.034,0.0078947368421052,266998,-39.91325511878343,-42.090452876029815,0,,,27133,-53.256938796182475,-53.44392484882768,239865,-38.40384703832624,-41.45091086492689
0.004,0.0023684210526315,319996,-64.60716207828337,-64.48236203550226,6658,-71.10291094712885,-70.81685521450908,313338,-64.46913638089343,-64.41675828108808,0,,
0.006,0.0007894736842105,319996,-60.97115210177863,-60.96076865369494,0,,,319996,-60.97115210177863,-60.96076865369494,0,,
0.006,0.0134210526315789,319938,-65.91815475960973,-63.053540813754026,103100,-83.13188560494503,-79.89546771290426,188859,-59.66940437724432,-59.3990293548572,27979,-44.6663980245258,-46.26985409599023
0.002,0.0031578947368421,319996,-69.05657622866372,-68.7862920120624,122041,-73.10650973538068,-72.49697677087498,197955,-66.55975657221023,-66.87004031711128,0,,
0.038,0.0063157894736842,262838,-38.75829868051437,-40.795148930823984,0,,,26002,-52.911894347322566,-53.07444418420137,236836,-37.20438882505175,-40.17574055222806
0.03,0.0031578947368421,269871,-40.77307404934173,-43.189139422697814,0,,,26500,-53.56742055762736,-53.951344440452765,243371,-39.379932785717195,-42.64559818071541
0.014,0.0126315789473684,313411,-52.35643485761007,-52.31672405505402,15239,-77.14021480361075,-75.31581968346336,178004,-56.85744965720788,-55.861801577778195,120168,-42.54618037235012,-45.0261236511171
0.006,0.0039473684210526,319996,-61.43267314393499,-61.13979773804408,5339,-71.78703399503856,-71.27393080537499,314656,-61.25701942434962,-61.06564343328169,1,-49.99687895904042,-49.99687895904042
0.022,0.0094736842105263,285615,-44.47229677716364,-46.66109338589429,59,-71.46163087098715,-71.418164842486,72515,-53.56891005946006,-52.96009862358794,213041,-41.368512609434134,-44.95059522976098
0.018,0.0039473684210526,289430,-45.35448182228341,-47.998371150184035,0,,,71444,-52.41946539779566,-51.426827866228194,217986,-43.03896299736393,-46.87421318196132
0.006,0.0094736842105263,319996,-63.69227866121624,-62.11888711866848,71542,-77.75998388841268,-75.68348256639274,238826,-60.204621509700964,-60.029400118440314,9628,-45.67310951951465,-47.94645669023568
0.014,0.0118421052631578,313260,-51.961942578899354,-52.16232348279552,11773,-76.28374084579065,-74.56475117187357,181380,-56.580902626984674,-55.59299637092491,120107,-42.60255882509797,-45.267105518906924
0.032,0.0039473684210526,268123,-40.24652707911436,-42.56434316862772,0,,,26161,-53.35846404844962,-53.68964471291064,241962,-38.82886073871884,-42.01236826695053
0.024,0.0039473684210526,277448,-42.68076510654968,-45.32679459705582,0,,,28108,-53.98269997274299,-54.35268990770896,249340,-41.406702440234774,-44.810774622347765
0.022,0.0086842105263157,284623,-44.285855420042054,-46.5526478226374,0,,,67100,-53.361737293976766,-52.7435118933496,217523,-41.48618975829125,-45.06051672682578
