ou_mean,ou_std,IT5A_r,IT5A_cv
0.0278947368421052,0.0063157894736842,30.09958217270195,0.15775545090181123
0.05,0.0094736842105263,0.8558495821727019,0.2436646376004707
0.0342105263157894,0.0268421052631578,0.0006963788300835655,
0.0342105263157894,0.0284210526315789,0.0017409470752089136,
0.0152631578947368,0.0157894736842105,7.880571030640668,0.4280109110593587
0.0405263157894736,0.0031578947368421,48.02402506963789,0.1133020925896658
0.0436842105263157,0.0142105263157894,0.018454038997214484,0.30393444293116745
0.0152631578947368,0.0126315789473684,12.72632311977716,0.34327687850022204
-0.0068421052631578,0.0047368421052631,0.0,
0.0152631578947368,0.0,14.375,0.0003299705051158534
0.0342105263157894,0.0,36.5,0.0008548284284233436
-0.0005263157894736,0.0173684210526315,1.0713788300835654,0.7581413113716259
0.0089473684210526,0.0142105263157894,8.124303621169917,0.47898403315168375
-0.01,0.0157894736842105,0.001392757660167131,
0.05,0.0047368421052631,28.165041782729805,0.15620250988946285
0.0310526315789473,0.0047368421052631,33.324860724233986,0.11461566150472971
0.0373684210526315,0.0,40.125,0.0009464131396757651
0.0278947368421052,0.0,29.25,0.0007189736890705656
0.0089473684210526,0.03,4.79491643454039,0.920359742679615
0.0310526315789473,0.0094736842105263,15.578690807799443,0.28689395689293745
0.0152631578947368,0.001578947368421,14.409818941504179,0.04122370663993645
-0.0036842105263157,0.001578947368421,0.0,
0.021578947368421,0.0063157894736842,22.472144846796656,0.1419407225476044
0.0373684210526315,0.0205263157894736,0.0,
0.05,0.0110526315789473,0.027506963788300837,0.227086737497068
0.0278947368421052,0.0205263157894736,0.04944289693593315,0.45278291746261123
0.0373684210526315,0.0126315789473684,0.6984679665738162,0.32061976608918574
0.0310526315789473,0.0284210526315789,0.0010445682451253482,
0.0089473684210526,0.0047368421052631,5.173398328690808,0.3601712740562047
0.0089473684210526,0.0221052631578947,5.409818941504178,0.6288860602072044
0.021578947368421,0.0236842105263157,0.4174791086350975,0.5544506519553688
0.0184210526315789,0.0284210526315789,0.807799442896936,0.6739552281218699
0.021578947368421,0.0047368421052631,22.172701949860723,0.10357794878581257
0.0468421052631579,0.0268421052631578,0.0010445682451253482,
-0.0068421052631578,0.0284210526315789,1.7865598885793872,0.8797616320472459
0.0089473684210526,0.0236842105263157,4.958217270194986,0.6522789318479515
0.0057894736842105,0.0078947368421052,1.4153899721448469,0.6990451896492217
0.0026315789473684,0.0284210526315789,6.120473537604457,0.8733321445811781
0.0184210526315789,0.0189473684210526,1.9940807799442897,0.5052716915565414
0.021578947368421,0.03,0.14275766016713093,0.6272662729160927
