ou_mean,ou_std,IT5A_V_num_-200_0,IT5A_V_mean_-200_0,IT5A_V_median_-200_0,IT5A_V_num_-200_-70,IT5A_V_mean_-200_-70,IT5A_V_median_-200_-70,IT5A_V_num_-70_-50,IT5A_V_mean_-70_-50,IT5A_V_median_-70_-50,IT5A_V_num_-50_0,IT5A_V_mean_-50_0,IT5A_V_median_-50_0
0.0405263157894736,0.0,303635,-57.93310130024967,-61.51791144556241,0,,,271551,-60.900717490712125,-61.98611625986077,32084,-32.815935605938655,-37.118808290375505
-0.0036842105263157,0.03,318773,-88.41899043880294,-88.05817877630648,285304,-91.44022455286141,-90.09351341503664,31529,-64.73317892049006,-65.7242728751552,1940,-29.047739760221226,-30.938070890520134
0.021578947368421,0.0142105263157894,319582,-26.006181082307613,-24.357052241705787,4191,-73.95316391387865,-72.90635147261041,9117,-63.59995307386192,-64.22803724270587,306274,-24.231011710130694,-24.279742172772927
0.0310526315789473,0.0031578947368421,307820,-60.5812566424942,-63.40057998226749,66,-70.15377537383642,-70.14824398336728,284888,-62.8594674082842,-63.768336224295794,22866,-32.169348355926786,-36.17578283385089
0.0121052631578947,0.0142105263157894,316729,-57.0930967957701,-66.54804150140868,116991,-75.7404012454642,-74.92289092590173,106113,-64.6088774883669,-65.46024838632827,93625,-25.27372342853176,-24.96958597123956
0.0342105263157894,0.0063157894736842,303003,-58.7628166161455,-61.548565613614784,1899,-70.91051609032331,-70.7667462548603,270903,-61.6811781777297,-62.02117744634955,30201,-31.82127880549979,-35.74687000677867
0.0436842105263157,0.0157894736842105,319996,-22.582568242843895,-22.699573334613522,0,,,0,,,319996,-22.582568242843895,-22.699573334613522
0.0342105263157894,0.0047368421052631,304291,-59.044445422274194,-61.91476576201461,293,-70.39389523578414,-70.35428594988343,275557,-61.82446833234866,-62.348639815985905,28441,-31.992648304495283,-35.909467322422245
0.05,0.0205263157894736,319996,-22.03536466937179,-22.222282179826173,0,,,0,,,319996,-22.03536466937179,-22.222282179826173
0.0373684210526315,0.0173684210526315,319996,-23.03228370978428,-23.146378982278556,0,,,0,,,319996,-23.03228370978428,-23.146378982278556
0.0278947368421052,0.0157894736842105,319996,-23.741899046051223,-23.83389720192192,0,,,0,,,319996,-23.741899046051223,-23.83389720192192
-0.0068421052631578,0.0173684210526315,319968,-91.89763268124157,-91.85852503060298,316650,-92.1621840091965,-91.98817324490497,3277,-67.12387720301946,-68.10675870144277,41,-28.810284027791838,-29.18972084418686
-0.0068421052631578,0.0205263157894736,319905,-91.77972060079782,-91.73627450151366,311675,-92.46713914279735,-92.10225976345981,8090,-66.37671231266535,-67.18252302873799,140,-29.345170409843423,-30.837948993119245
0.0342105263157894,0.0205263157894736,319996,-23.215508905439837,-23.37078276596346,0,,,0,,,319996,-23.215508905439837,-23.37078276596346
0.0436842105263157,0.0047368421052631,293094,-55.1140045368885,-59.28176764514757,0,,,248826,-59.32592822605482,-59.90462683090707,44268,-31.439202786628762,-35.114037003117986
0.0436842105263157,0.0078947368421052,313273,-30.299092295402716,-23.03732793680201,0,,,62062,-59.63169603531637,-60.0077169716121,251211,-23.052434890645284,-22.743098118750073
0.0121052631578947,0.03,319870,-25.47584408302054,-24.779546439078914,3912,-81.6732308358997,-78.87045296465072,1669,-63.99635085466912,-65.12486052691119,314289,-24.571787934764814,-24.714439253681636
0.0310526315789473,0.0126315789473684,319996,-23.554223885412707,-23.62444933354093,0,,,0,,,319996,-23.554223885412707,-23.62444933354093
0.0373684210526315,0.0142105263157894,319996,-23.07417372352679,-23.170054596041282,0,,,0,,,319996,-23.07417372352679,-23.170054596041282
0.0373684210526315,0.0063157894736842,307792,-39.020006679050596,-24.23780746630257,0,,,128049,-60.03862815910924,-60.49689797985758,179743,-24.0463305865183,-23.244566558328
0.021578947368421,0.0031578947368421,311935,-63.70596765659601,-65.98411347551561,32780,-70.81398708158665,-70.65726565585915,264284,-64.61598839772421,-65.59709634659913,14871,-31.865150072068165,-35.79746448133329
0.0089473684210526,0.001578947368421,318413,-66.85428731671615,-65.67930480603029,81294,-74.72533874944159,-74.94436107619661,234198,-64.5501409895438,-64.58863729743459,2921,-32.536316196938415,-37.061504801968304
-0.01,0.0,319996,-97.40095872621504,-97.400958586422,319996,-97.40095872621504,-97.400958586422,0,,,0,,
-0.0068421052631578,0.0189473684210526,319942,-91.83056026683468,-91.7861457270767,314467,-92.27768917302849,-92.01305484652264,5393,-66.71212046733301,-67.62745123127627,82,-29.104463860265337,-29.26264210712702
0.0405263157894736,0.0221052631578947,319996,-22.723899273983136,-22.907658230965165,0,,,0,,,319996,-22.723899273983136,-22.907658230965165
0.0152631578947368,0.0110526315789473,315745,-56.45596825586812,-65.65443878947039,93155,-74.04034261178289,-73.40610936342398,135050,-64.55043996405661,-65.42495330557595,87540,-25.256164768135758,-24.781707859866465
0.0184210526315789,0.0221052631578947,319908,-24.729236639195417,-24.442189973673386,1642,-78.53431969319477,-77.37179111868713,1166,-63.006036279976996,-63.960269795875284,317100,-24.30987777840759,-24.418556167379297
0.0278947368421052,0.001578947368421,309281,-61.467831346891444,-64.26006748499657,0,,,289261,-63.506272339783486,-64.61384207924941,20020,-32.0152099660247,-36.030673816686644
0.0057894736842105,0.0047368421052631,319962,-70.42687460292505,-70.44830384406856,181009,-72.37396691020304,-72.02469952114089,138893,-67.90655576752914,-68.32165508457919,60,-30.650417212320313,-34.57127571184678
0.0184210526315789,0.0031578947368421,313269,-64.90117001453767,-66.9448434654529,75690,-71.36360196037135,-71.19042774436898,225159,-64.54795964589367,-65.376286364797,12420,-31.921058856193284,-35.910962874468396
0.05,0.0063157894736842,319996,-22.19121921788738,-22.24607292966455,0,,,0,,,319996,-22.19121921788738,-22.24607292966455
