ou_mean,ou_std,IRE_V_num_-200_0,IRE_V_mean_-200_0,IRE_V_median_-200_0,IRE_V_num_-200_-70,IRE_V_mean_-200_-70,IRE_V_median_-200_-70,IRE_V_num_-70_-50,IRE_V_mean_-70_-50,IRE_V_median_-70_-50,IRE_V_num_-50_0,IRE_V_mean_-50_0,IRE_V_median_-50_0,IREM_V_num_-200_0,IREM_V_mean_-200_0,IREM_V_median_-200_0,IREM_V_num_-200_-70,IREM_V_mean_-200_-70,IREM_V_median_-200_-70,IREM_V_num_-70_-50,IREM_V_mean_-70_-50,IREM_V_median_-70_-50,IREM_V_num_-50_0,IREM_V_mean_-50_0,IREM_V_median_-50_0,TI_V_num_-200_0,TI_V_mean_-200_0,TI_V_median_-200_0,TI_V_num_-200_-70,TI_V_mean_-200_-70,TI_V_median_-200_-70,TI_V_num_-70_-50,TI_V_mean_-70_-50,TI_V_median_-70_-50,TI_V_num_-50_0,TI_V_mean_-50_0,TI_V_median_-50_0,TIM_V_num_-200_0,TIM_V_mean_-200_0,TIM_V_median_-200_0,TIM_V_num_-200_-70,TIM_V_mean_-200_-70,TIM_V_median_-200_-70,TIM_V_num_-70_-50,TIM_V_mean_-70_-50,TIM_V_median_-70_-50,TIM_V_num_-50_0,TIM_V_mean_-50_0,TIM_V_median_-50_0
-0.02,0.0102631578947368,1030,-188.3203501269927,-189.96571666184454,1030,-188.3203501269927,-189.96571666184454,0,,,0,,,654,-185.89463839509014,-192.35201011615905,654,-185.89463839509014,-192.35201011615905,0,,,0,,,77761,-190.137043488411,-192.34922484247002,77761,-190.137043488411,-192.34922484247002,0,,,0,,,70884,-190.1305116904906,-192.34916950373423,70884,-190.1305116904906,-192.34916950373423,0,,,0,,
-0.02,0.0047368421052631,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,17468,-196.8240152838777,-197.30017609312182,17468,-196.8240152838777,-197.30017609312182,0,,,0,,,14994,-196.39896790362846,-197.3660209611271,14994,-196.39896790362846,-197.3660209611271,0,,,0,,
-0.0057894736842105,0.0047368421052631,319996,-140.7922071483295,-140.7377118635281,319996,-140.7922071483295,-140.7377118635281,0,,,0,,,319819,-140.53255033149645,-140.59996984588687,319791,-140.53878912279777,-140.6020220790269,28,-69.27864643754758,-69.23518500989243,0,,,319996,-105.42830117915278,-105.36225559587527,319996,-105.42830117915278,-105.36225559587527,0,,,0,,,319996,-105.1055749406715,-105.15994980750799,319996,-105.1055749406715,-105.15994980750799,0,,,0,,
-0.0042105263157894,0.0126315789473684,299696,-110.05438852920058,-114.0095832915256,233046,-128.9829277605266,-127.30506207729528,28193,-59.299078081395926,-58.87388534707117,38457,-32.5580709212579,-35.803149234715214,299340,-107.92485250799317,-112.06997834964788,230363,-127.1582116428238,-125.4745194014677,28948,-59.20053831177667,-58.5972195044117,40029,-32.47498208842455,-35.57925662977987,319570,-98.26904363295252,-96.36595056059507,278909,-103.65435875726816,-100.63269593490071,39061,-62.30829168538562,-62.77502492820965,1600,-37.42534101805283,-43.20113614613225,319601,-97.95044102169288,-97.22623548523171,285229,-102.37981580393361,-100.45419082664658,32796,-62.33402076826872,-62.96618349101627,1576,-37.474539287912,-43.57105715249118
-0.0136842105263157,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,319996,-164.93288183939814,-164.93288183939828,319996,-164.93288183939814,-164.93288183939828,0,,,0,,,319996,-164.93288183939814,-164.93288183939828,319996,-164.93288183939814,-164.93288183939828,0,,,0,,
-0.0010526315789473,0.0110526315789473,304011,-85.45220171153329,-83.3473272688899,188834,-107.56053126966663,-103.84946228382405,64580,-59.85706942627661,-59.81026472049521,50597,-35.60990551218,-39.46449502880171,304080,-84.68538377961056,-82.63928278339134,188121,-106.49692538192188,-102.38311949352911,65144,-59.78062720336557,-59.579231289247645,50815,-35.86488677350005,-39.70396999904145,319022,-81.39527365447174,-79.07465243747875,218734,-90.68141334056092,-87.24735439955477,96493,-62.07632517869418,-62.4010004018236,3795,-37.37651665214827,-43.2397676221057,319003,-80.44076082329464,-78.84186668684076,222948,-88.78503165399508,-85.78396330009359,92213,-62.04258944721888,-62.44733983003512,3842,-37.80986127594168,-43.90506883916642
-0.0073684210526315,0.001578947368421,319996,-158.70560735805967,-158.6870520781921,319996,-158.70560735805967,-158.6870520781921,0,,,0,,,319996,-158.63489997720245,-158.64548518089782,319996,-158.63489997720245,-158.64548518089782,0,,,0,,,319996,-116.8031106357996,-116.78276225842629,319996,-116.8031106357996,-116.78276225842629,0,,,0,,,319996,-116.68539167827078,-116.70163124702236,319996,-116.68539167827078,-116.70163124702236,0,,,0,,
-0.0136842105263157,0.0031578947368421,1588,-196.25799508021205,-197.3672149756784,1588,-196.25799508021205,-197.3672149756784,0,,,0,,,1343,-196.65458122947442,-198.33707688243643,1343,-196.65458122947442,-198.33707688243643,0,,,0,,,319996,-164.7934790394301,-164.7554475320282,319996,-164.7934790394301,-164.7554475320282,0,,,0,,,319996,-164.54988322421798,-164.58140182418893,319996,-164.54988322421798,-164.58140182418893,0,,,0,,
-0.0042105263157894,0.0007894736842105,319996,-124.14558711609824,-124.13631312545444,319996,-124.14558711609824,-124.13631312545444,0,,,0,,,319996,-124.11022292876521,-124.115521699248,319996,-124.11022292876521,-124.115521699248,0,,,0,,,319996,-94.99376434244883,-94.9858587090269,319996,-94.99376434244883,-94.9858587090269,0,,,0,,,319996,-94.95281129139501,-94.96162128652199,319996,-94.95281129139501,-94.96162128652199,0,,,0,,
-0.02,0.0023684210526315,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,176,-198.20580956560462,-197.76503417408844,176,-198.20580956560462,-197.76503417408844,0,,,0,,
-0.0010526315789473,0.0126315789473684,302306,-87.05884688546197,-84.14253471371538,186414,-111.14041845253419,-106.85587504681378,62146,-59.54760470156024,-59.29745277234811,53746,-35.3447021055075,-39.13554988245161,302446,-85.79181654542879,-82.72149957704437,185055,-109.36946388230359,-104.48793249442386,64010,-59.548279508677425,-59.352016388605875,53381,-35.524629302722474,-39.30542109225605,318867,-81.57740178274172,-78.4975808304061,214754,-91.6011577215364,-87.75961819474307,99638,-61.96499129648599,-62.29881019034423,4475,-37.21978684411235,-43.311749409372474,318868,-80.83106157659047,-78.79433645683744,219245,-89.88716424434801,-86.50751380825798,95238,-61.98252000080195,-62.392749417051036,4385,-37.408524108505354,-43.48240838336824
-0.0026315789473684,0.0071052631578947,311240,-96.98446239054041,-100.81224726978455,249770,-109.37372942941697,-107.69401213674774,30154,-59.917495172468335,-59.85654377226,31316,-33.861780732396326,-37.26038203891322,311700,-97.53659478709804,-101.73391652492225,255659,-108.8117089219765,-107.72279969427926,26747,-60.11285237603373,-60.000112345496476,29294,-33.30461669123661,-36.51488356558738,319794,-88.85946809216962,-88.74870425412695,283590,-92.20317608798423,-90.9541220353189,35439,-63.20975470912618,-63.880530959853324,765,-37.562791031539845,-43.655394633900045,319816,-88.57709096079395,-88.80101645940266,286314,-91.61465044490714,-90.76335398206382,32789,-63.16082000432571,-63.9353220746605,713,-37.63501839032891,-44.01333913005549
0.0068421052631578,0.0047368421052631,299623,-54.18902606971486,-55.950686443939276,6376,-72.44946448273397,-71.5332333817336,198605,-60.03423251259597,-60.26026802016698,94642,-40.692737097484624,-43.955081386341746,299620,-54.12072046656073,-55.81948935434721,6995,-72.68029565062052,-71.85716305425298,197399,-59.92011011306897,-60.08528244605451,95226,-40.73553212258345,-43.994256882669085,317002,-59.7674492617962,-59.4723994227229,16739,-72.59861663248455,-71.8991159158214,288991,-59.88319038297428,-59.35133959874398,11272,-37.745709289446715,-44.05151007276553,316989,-59.49804924527525,-59.22307985622882,13983,-72.42648524600128,-71.82922304987076,291650,-59.72356553478734,-59.16637069510391,11356,-37.78704656525112,-44.10723047536723
