ou_mean,ou_std,CT5B_r,CT5B_cv,CT5A_r,CT5A_cv,CT6_r,CT6_cv
0.0142105263157894,0.0031578947368421,2.3126326963906583,0.6332045247284743,2.3112813370473537,0.625494865946771,2.296209117938553,0.6216918777170216
-0.011578947368421,0.0268421052631578,0.3503184713375796,0.7548912122430498,0.3398328690807799,0.7397018647197252,0.35009910802775024,0.7579451202660182
0.0252631578947368,0.0126315789473684,0.0002653927813163482,,0.00034818941504178273,,0.0002477700693756194,
-0.0226315789473684,0.0142105263157894,0.0,,0.0,,0.0,
-0.0189473684210526,0.0252631578947368,0.020169851380042462,,0.017061281337047353,,0.01734390485629336,
-0.0042105263157894,0.0142105263157894,0.0037154989384288748,,0.002785515320334262,,0.0023538156590683845,
0.0363157894736842,0.0189473684210526,0.03237791932059448,0.3615674853658533,0.034818941504178275,1.3386987026123627,0.0344400396432111,0.6722809287883468
-0.0078947368421052,0.0,0.0,,0.0,,0.0,
0.0252631578947368,0.0221052631578947,3.2038216560509554,1.7278403238417217,3.33983286908078,1.7435458237252301,3.1584489593657086,1.715749612235809
0.04,0.0221052631578947,0.1762208067940552,1.3660987431263585,0.19254874651810586,1.4919963452303266,0.17257185332011893,1.282848047370796
-0.0189473684210526,0.0236842105263157,0.007165605095541401,,0.008356545961002786,,0.0070614469772051535,
-0.0226315789473684,0.0078947368421052,0.0,,0.0,,0.0,
-0.0152631578947368,0.0157894736842105,0.0,,0.0,,0.0,
0.0326315789473684,0.0205263157894736,0.267515923566879,1.4862334315471408,0.26357938718662954,1.4075306505530882,0.27155599603567887,1.492619883082113
0.0178947368421052,0.0094736842105263,0.08333333333333333,0.29262238707343186,0.08948467966573816,0.2301883687840286,0.05686323092170466,0.27617795256230837
0.0031578947368421,0.0236842105263157,4.313163481953291,0.80238131212982,4.295961002785515,0.7940850844876488,4.2787413280475715,0.7979667429085726
0.0326315789473684,0.0236842105263157,1.6876326963906583,1.4367499240785124,1.7224930362116992,1.4361302851122206,1.7163032705649157,1.424150188674587
0.04,0.0031578947368421,0.0,,0.0,,0.0,
0.0252631578947368,0.0173684210526315,0.131104033970276,1.0928937990885776,0.1469359331476323,1.1536313074465145,0.13367195242814667,1.3608477241659642
0.0105263157894736,0.0268421052631578,12.746284501061572,0.7019288818220509,12.735376044568245,0.7000971872662574,12.721630327056491,0.6966642358164818
-0.0042105263157894,0.0063157894736842,0.0,,0.0,,0.0,
-0.0152631578947368,0.0047368421052631,0.0,,0.0,,0.0,
0.021578947368421,0.0284210526315789,21.058917197452228,0.9456110549389547,20.931058495821727,0.9421142536029935,20.960604558969276,0.9411906001407581
0.04,0.0236842105263157,0.4450636942675159,1.2486281793842107,0.45473537604456826,1.2033818684222561,0.45515361744301286,1.1933911732770943
-0.0263157894736842,0.0031578947368421,0.0,,0.0,,0.0,
-0.011578947368421,0.0078947368421052,0.0,,0.0,,0.0,
-0.0263157894736842,0.03,0.02043524416135881,,0.017757660167130918,,0.01771555996035679,
-0.0226315789473684,0.0047368421052631,0.0,,0.0,,0.0,
0.0252631578947368,0.0031578947368421,0.32404458598726116,0.12098238450180208,0.4832869080779944,0.12504609926522448,0.4513131813676908,0.12810430464799458
-0.0152631578947368,0.0110526315789473,0.0,,0.0,,0.0,
0.021578947368421,0.0205263157894736,3.0485668789808917,1.7800519964025054,3.2729805013927575,1.827404567051773,3.0370416253716552,1.766688640045988
-0.0005263157894736,0.0189473684210526,0.6154458598726115,0.7534444381592446,0.5710306406685237,0.7300850905363894,0.5852329038652131,0.745075224084819
0.0068421052631578,0.0157894736842105,2.660828025477707,0.8143931142600936,2.6354456824512535,0.8073160909673829,2.6552279484638257,0.8035281374858803
-0.0078947368421052,0.0063157894736842,0.0,,0.0,,0.0,
0.04,0.0189473684210526,0.013800424628450107,,0.013927576601671309,,0.01647670961347869,0.9766245022419761
0.04,0.0173684210526315,0.002653927813163482,,0.0017409470752089136,,0.0030971258671952428,
0.0289473684210526,0.0252631578947368,6.218152866242038,1.7482295727800148,6.4094707520891365,1.7799819766243512,6.263999008919723,1.7412193500053765
0.0105263157894736,0.0063157894736842,0.21841825902335457,0.7315574778858318,0.21204735376044567,0.5877372354204893,0.22039147670961348,0.6712047889667097
-0.03,0.0110526315789473,0.0,,0.0,,0.0,
0.0252631578947368,0.0205263157894736,1.3097133757961783,1.5726405178290193,1.3896239554317549,1.575391981414006,1.3389494549058474,1.591746377651287
0.0252631578947368,0.0268421052631578,15.072983014861995,1.536406665921185,15.330431754874652,1.5093161337682524,15.199454905847373,1.510857789553514
0.04,0.0047368421052631,0.0,,0.0,,0.0,
-0.0189473684210526,0.0284210526315789,0.09076433121019108,1.1320603580533555,0.08008356545961003,,0.09043607532210109,0.7739062442004885
-0.0226315789473684,0.0157894736842105,0.0,,0.0,,0.0,
-0.0005263157894736,0.001578947368421,0.0,,0.0,,0.0,
-0.0005263157894736,0.0078947368421052,0.0,,0.0,,0.0,
-0.0042105263157894,0.0221052631578947,0.5663481953290871,0.7252699793026025,0.533774373259053,0.7346150573080378,0.5491823587710605,0.753519581208221
-0.0005263157894736,0.0173684210526315,0.2940552016985138,0.8272366282281285,0.28342618384401114,0.6989505798343901,0.2932358771060456,0.7898621597327791
0.021578947368421,0.0126315789473684,0.0005307855626326964,,0.0006963788300835655,,0.000867195242814668,
0.0068421052631578,0.0252631578947368,8.29140127388535,0.7415778089403781,8.259401114206128,0.7415580911318977,8.274033696729434,0.7379528363681013
-0.0189473684210526,0.0094736842105263,0.0,,0.0,,0.0,
-0.0152631578947368,0.0031578947368421,0.0,,0.0,,0.0,
-0.0226315789473684,0.0110526315789473,0.0,,0.0,,0.0,
0.0031578947368421,0.0284210526315789,6.773354564755839,0.8000538937399442,6.792130919220056,0.7906868846442286,6.783696729435084,0.7969335988117635
-0.0263157894736842,0.0189473684210526,0.0,,0.0,,0.0,
0.0252631578947368,0.0236842105263157,6.326433121019108,1.798967263706429,6.520543175487465,1.827997178635032,6.167120911793855,1.7756975387916976
-0.03,0.001578947368421,0.0,,0.0,,0.0,
0.0252631578947368,0.0252631578947368,10.486464968152866,1.7440559786165248,10.487116991643454,1.716718985230816,10.565163528245789,1.7234445540457288
0.0289473684210526,0.0189473684210526,0.21125265392781317,1.4367505855391975,0.20647632311977715,1.5299283966269286,0.19561446977205155,1.4328428788553584
0.021578947368421,0.0110526315789473,0.0,,0.0,,0.0,
0.0031578947368421,0.03,7.62791932059448,0.7991788035276246,7.5755571030640665,0.7905104989281683,7.625247770069375,0.7975434654850363
0.0068421052631578,0.03,10.82776008492569,0.7589753411941869,10.86142061281337,0.7573314816416415,10.810951437066402,0.7534156739541841
0.0142105263157894,0.0205263157894736,9.543524416135881,1.2841508228555687,9.550487465181059,1.247683948479727,9.477081268582754,1.257682824670586
0.0142105263157894,0.0063157894736842,4.286624203821656,0.4580572427149654,4.390320334261839,0.45527562677338657,4.428270564915758,0.4543717112294657
-0.03,0.0157894736842105,0.0,,0.0,,0.0,
-0.0042105263157894,0.0031578947368421,0.0,,0.0,,0.0,
