ou_mean,ou_std,IT5B_V_num_-200_0,IT5B_V_mean_-200_0,IT5B_V_median_-200_0,IT5B_V_num_-200_-70,IT5B_V_mean_-200_-70,IT5B_V_median_-200_-70,IT5B_V_num_-70_-50,IT5B_V_mean_-70_-50,IT5B_V_median_-70_-50,IT5B_V_num_-50_0,IT5B_V_mean_-50_0,IT5B_V_median_-50_0,IT6_V_num_-200_0,IT6_V_mean_-200_0,IT6_V_median_-200_0,IT6_V_num_-200_-70,IT6_V_mean_-200_-70,IT6_V_median_-200_-70,IT6_V_num_-70_-50,IT6_V_mean_-70_-50,IT6_V_median_-70_-50,IT6_V_num_-50_0,IT6_V_mean_-50_0,IT6_V_median_-50_0
0.0002631578947368,0.0010526315789473,319996,-80.6717182645059,-80.67014150505017,319996,-80.6717182645059,-80.67014150505017,0,,,0,,,319996,-80.02726313529527,-80.03516896485525,319996,-80.02726313529527,-80.03516896485525,0,,,0,,
0.0068421052631578,0.0021052631578947,319996,-69.37018656157825,-69.37534134616837,94537,-70.72551786755616,-70.60894438329312,225459,-68.80188387384686,-68.9364768707036,0,,,319996,-68.05248084409658,-68.10249331913317,17525,-70.50328757612021,-70.39155000482548,302471,-67.91048247738138,-68.01574198425244,0,,
0.0134210526315789,0.02,319520,-28.508730042944922,-25.13810550938829,14197,-77.71522207350938,-76.26403285845454,10462,-64.02287818236964,-64.81693021389074,294861,-24.87944849946312,-24.935689087169763,319845,-24.854406616234016,-23.798240152261126,4637,-78.19075086910726,-77.18130439141349,3305,-64.30439018138904,-65.22468473708794,311903,-23.64344415680461,-23.737304448749708
0.0173684210526315,0.0021052631578947,314119,-65.52617745160768,-67.48196527908675,105575,-71.78458087150888,-71.75788726198601,195690,-64.2235432616392,-64.8835456717081,12854,-33.95480228269993,-38.70452002531809,313377,-66.01614587157374,-68.08867435519626,115354,-71.84621129224836,-71.84913695887974,186665,-64.48152506740252,-65.19271900041292,11358,-32.02588577949127,-36.29032330867946
0.0055263157894736,0.0073684210526315,319746,-71.92089277292614,-71.96432504309048,217986,-74.20871200414808,-73.65789047425206,101280,-67.18395417733767,-67.85141604858191,480,-32.43043032302216,-36.573689256955305,319398,-71.50776314694036,-71.47990684794057,201036,-74.42852601845371,-73.7164384942966,117394,-66.83658309326081,-67.49690222867589,968,-31.41481540323752,-35.30454252047768
0.02,0.0168421052631578,319651,-26.094597296458826,-24.62045398005617,4972,-75.25197099851064,-74.61315768665196,6658,-63.77195766187742,-64.660451038728,308021,-24.486699369500744,-24.542194418326115,319996,-23.23803844682655,-23.329118962983422,0,,,0,,,319996,-23.23803844682655,-23.329118962983422
0.0160526315789473,0.0157894736842105,318453,-35.185671175083385,-25.417434715632197,35258,-75.45183463270119,-74.45158035132377,38451,-64.20029065411725,-65.0776675772719,244744,-24.826497815258346,-24.81715608380896,318562,-32.98037889146374,-24.09713693140869,34030,-75.93660286916605,-74.83109431781543,29635,-64.28043673318078,-65.10878054742005,254897,-23.606484667128054,-23.617573568713592
0.0134210526315789,0.0073684210526315,317482,-49.72731683929663,-61.40190983035288,78635,-73.8932037636208,-73.50220578953326,100070,-64.60807328885905,-65.40038370889317,138777,-25.30394829694494,-25.037558853089973,315461,-63.972917025710416,-68.4897985720505,132727,-74.0089663159685,-73.63626966607406,145449,-64.7003774578913,-65.409377956209,37285,-25.408799912974377,-23.93184704828097
0.0160526315789473,0.0010526315789473,314691,-66.06758711335488,-67.80651444102949,117422,-72.28278470753605,-72.48487497371774,185705,-64.14475388187644,-64.7265822614662,11564,-33.83642258099192,-38.62957299123197,313953,-66.5593480736286,-68.52841437468504,128229,-72.28308661352064,-72.48480999072045,175331,-64.41659282787926,-65.10164006689176,10393,-32.088276271518424,-36.42991801429273
0.0068421052631578,0.02,319252,-37.319377706301715,-26.097974295768438,55379,-80.09986752828365,-79.03413120166384,20393,-64.53602586735359,-65.57233558394206,243480,-25.30948017139179,-25.335640226995594,317704,-61.19140532728131,-71.05982932888426,167709,-80.18171344659805,-79.2258251378289,57973,-64.82413560715362,-65.72671435871973,92022,-24.29320862543248,-24.19558699559972
-0.0036842105263157,0.011578947368421,319996,-86.75584900624115,-86.7314386515036,318992,-86.81576476964763,-86.75761890890868,1004,-67.71934581841741,-68.01010764814413,0,,,319996,-86.49225902716702,-86.56278811491813,318564,-86.57567848134428,-86.60126584160773,1432,-67.93469268601531,-68.44449588755208,0,,
0.0002631578947368,0.0178947368421052,319400,-81.2399566790102,-81.22847217840945,285265,-83.1964313424442,-82.49339265865667,33173,-65.90392393202744,-66.86053490696898,962,-29.91819935174479,-32.63393888611334,319147,-81.19527461920327,-81.38137129977471,282119,-83.40590802093006,-82.7761002371274,35728,-65.6121750691634,-66.61246117477849,1300,-29.727040820788655,-32.32954185952222
